,length,number_of_drifts,drift_type,percentage_drift,amount_anomalies_before,width,stream1,stream2,filename,split_index
0,229900,2,abrupt,0.15,0.5,1,MBA_ECG14046_data_1.arff,MBA_ECG14046_data_21.arff,ECG_p15_abrupt_b50_1,[]
1,161280,2,abrupt,0.25,0.5,1,MBA_ECG803_data.arff,MBA_ECG820_data.arff,ECG_p25_abrupt_b50_1,[]
2,230400,2,abrupt,0.35,0.5,1,MBA_ECG820_data.arff,MBA_ECG803_data.arff,ECG_p35_abrupt_b50_1,[]
3,114950,3,abrupt,0.45,0.5,1,MBA_ECG14046_data_21.arff,MBA_ECG14046_data_1.arff,ECG_p45_abrupt_b50_1,[]
4,230400,1,abrupt,0.05,0.5,1,MBA_ECG803_data.arff,MBA_ECG820_data.arff,ECG_p5_abrupt_b50_1,[]
5,138240,1,abrupt,0.05,0.5,1,MBA_ECG820_data.arff,MBA_ECG803_data.arff,ECG_p5_abrupt_b50_2,[]
6,117003,1,abrupt,0.15,0.5,1,KPI-adb2fde9-8589-3f5b-a410-5fe14386c7af.test.arff,KPI-adb2fde9-8589-3f5b-a410-5fe14386c7af.train.arff,IOPS_p15_abrupt_b50_1,[]
7,146204,1,abrupt,0.25,0.5,1,KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.train.arff,KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.train.arff,IOPS_p25_abrupt_b50_1,"[93514, 130553]"
8,8784,2,abrupt,0.35,0.5,1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train.arff,KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d.test.arff,IOPS_p35_abrupt_b50_1,"[1597, 2350, 4052, 6170]"
10,8784,1,abrupt,0.45,0.5,1,KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d.train.arff,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train.arff,IOPS_p45_abrupt_b50_1,"[2882, 4797]"
9,146253,1,abrupt,0.05,0.5,1,KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.train.arff,KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.train.arff,IOPS_p5_abrupt_b50_1,"[46851, 54376]"
